< 562[110] , 647[110] > 
< 913[110] , 722[110] > 
< 994[110] , 541[110] > 
< 637[110] , 566[110] > 
< 619[110] , 961[110] > 
< 818[110] , 846[110] > 
< 790[110] , 924[110] > 
< 752[110] , 680[110] > 
< 944[110] , 537[110] > 
< 635[110] , 514[110] > 
< 518[110] , 649[110] > 
< 845[110] , 643[110] > 
< 859[110] , 928[110] > 
< 667[110] , 718[110] > 
< 923[110] , 874[110] > 
< 866[110] , 935[110] > 
< 591[110] , 595[110] > 
< 655[110] , 879[110] > 
< 909[110] , 832[110] > 
< 982[110] , 555[110] > 
< 823[110] , 816[110] > 
< 856[110] , 741[110] > 
< 526[110] , 653[110] > 
< 644[110] , 576[110] > 
< 620[110] , 802[110] > 
< 691[110] , 751[110] > 
< 572[110] , 622[110] > 
< 600[110] , 530[110] > 
< 692[110] , 511[110] > 
< 670[110] , 594[110] > 
< 788[110] , 902[110] > 
< 689[110] , 638[110] > 
< 738[110] , 535[110] > 
< 942[110] , 963[110] > 
< 988[110] , 858[110] > 
< 770[110] , 677[110] > 
< 641[110] , 721[110] > 
< 596[110] , 762[110] > 
< 976[110] , 853[110] > 
< 841[110] , 610[110] > 
< 764[110] , 706[110] > 
< 523[110] , 585[110] > 
< 980[110] , 755[110] > 
< 509[110] , 639[110] > 
< 805[110] , 684[110] > 
< 990[110] , 854[110] > 
< 820[110] , 675[110] > 
< 901[110] , 618[110] > 
< 782[110] , 533[110] > 
< 822[110] , 930[110] > 
< 662[110] , 808[110] > 
< 682[110] , 877[110] > 
< 837[110] , 792[110] > 
< 951[110] , 773[110] > 
< 697[110] , 887[110] > 
< 996[110] , 893[110] > 
< 645[110] , 817[110] > 
< 931[110] , 754[110] > 
< 607[110] , 918[110] > 
< 876[110] , 985[110] > 
< 703[110] , 886[110] > 
< 787[110] , 561[110] > 
< 829[110] , 968[110] > 
< 781[110] , 825[110] > 
< 937[110] , 542[110] > 
< 798[110] , 634[110] > 
< 811[110] , 505[110] > 
< 850[110] , 701[110] > 
< 763[110] , 597[110] > 
< 617[110] , 650[110] > 
< 630[110] , 606[110] > 
< 587[110] , 702[110] > 
< 895[110] , 711[110] > 
< 780[110] , 616[110] > 
< 871[110] , 991[110] > 
< 810[110] , 552[110] > 
< 567[110] , 668[110] > 
< 651[110] , 804[110] > 
< 872[110] , 925[110] > 
< 504[110] , 525[110] > 
< 759[110] , 592[110] > 
< 767[110] , 957[110] > 
< 821[110] , 998[110] > 
< 934[110] , 507[110] > 
< 978[110] , 532[110] > 
< 737[110] , 642[110] > 
< 679[110] , 862[110] > 
< 529[110] , 966[110] > 
< 775[110] , 921[110] > 
< 878[110] , 602[110] > 
< 864[110] , 549[110] > 
< 761[110] , 545[110] > 
< 676[110] , 712[110] > 
< 720[110] , 765[110] > 
< 889[110] , 835[110] > 
< 868[110] , 546[110] > 
< 540[110] , 836[110] > 
< 861[110] , 834[110] > 
< 880[110] , 531[110] > 
< 890[110] , 502[110] > 
< 894[110] , 757[110] > 
< 657[110] , 946[110] > 
< 699[110] , 992[110] > 
< 603[110] , 873[110] > 
< 863[110] , 593[110] > 
< 975[110] , 563[110] > 
< 609[110] , 800[110] > 
< 730[110] , 731[110] > 
< 539[110] , 797[110] > 
< 997[110] , 663[110] > 
< 949[110] , 791[110] > 
< 969[110] , 534[110] > 
< 608[110] , 732[110] > 
< 744[110] , 700[110] > 
< 715[110] , 796[110] > 
< 813[110] , 922[110] > 
< 979[110] , 828[110] > 
< 709[110] , 929[110] > 
< 586[110] , 660[110] > 
< 678[110] , 753[110] > 
< 842[110] , 989[110] > 
< 955[110] , 556[110] > 
< 896[110] , 888[110] > 
< 512[110] , 927[110] > 
< 698[110] , 550[110] > 
< 590[110] , 515[110] > 
< 940[110] , 681[110] > 
< 554[110] , 551[110] > 
< 674[110] , 672[110] > 
< 839[110] , 799[110] > 
< 695[110] , 958[110] > 
< 995[110] , 749[110] > 
< 570[110] , 746[110] > 
< 629[110] , 666[110] > 
< 915[110] , 748[110] > 
< 899[110] , 819[110] > 
< 945[110] , 947[110] > 
< 983[110] , 760[110] > 
< 584[110] , 999[110] > 
< 648[110] , 777[110] > 
< 898[110] , 687[110] > 
< 750[110] , 654[110] > 
< 690[110] , 970[110] > 
< 631[110] , 726[110] > 
< 766[110] , 977[110] > 
< 656[110] , 742[110] > 
< 683[110] , 855[110] > 
< 717[110] , 582[110] > 
< 686[110] , 747[110] > 
