< 766[654] , 205[654] > 
< 773[657] , 229[657] > 
< 535[660] , 808[660] > 
< 243[663] , 987[663] > 
< 469[664] , 32[664] > 
< 891[666] , 245[666] > 
< 786[668] , 194[668] > 
< 712[674] , 189[674] > 
< 972[676] , 237[676] > 
< 394[678] , 80[678] > 
< 72[680] , 281[680] > 
< 297[681] , 230[681] > 
< 769[682] , 202[682] > 
< 809[683] , 541[683] > 
< 971[684] , 91[684] > 
< 777[686] , 959[686] > 
< 636[689] , 658[689] > 
< 521[689] , 898[689] > 
< 992[690] , 500[690] > 
< 695[693] , 356[693] > 
< 670[696] , 767[696] > 
< 436[698] , 880[698] > 
< 536[699] , 851[699] > 
< 180[704] , 531[704] > 
< 492[706] , 191[706] > 
< 693[709] , 409[709] > 
< 595[711] , 940[711] > 
< 791[711] , 219[711] > 
< 221[717] , 278[717] > 
< 864[719] , 709[719] > 
< 138[719] , 259[719] > 
< 506[721] , 800[721] > 
< 637[722] , 624[722] > 
< 845[723] , 52[723] > 
< 369[724] , 114[724] > 
< 453[725] , 126[725] > 
< 101[725] , 906[725] > 
< 65[727] , 794[727] > 
< 263[728] , 141[728] > 
< 420[729] , 223[729] > 
< 873[737] , 626[737] > 
< 916[740] , 609[740] > 
< 558[742] , 19[742] > 
< 903[745] , 384[745] > 
< 333[748] , 501[748] > 
< 704[751] , 834[751] > 
< 184[752] , 267[752] > 
< 365[754] , 77[754] > 
< 304[757] , 622[757] > 
< 802[759] , 139[759] > 
< 736[760] , 954[760] > 
< 274[760] , 494[760] > 
< 111[761] , 69[761] > 
< 256[762] , 641[762] > 
< 944[762] , 308[762] > 
< 968[763] , 894[763] > 
< 545[764] , 61[764] > 
< 60[765] , 706[765] > 
< 831[766] , 104[766] > 
< 783[769] , 915[769] > 
< 841[769] , 405[769] > 
< 947[772] , 430[772] > 
< 156[773] , 273[773] > 
< 922[774] , 816[774] > 
< 271[775] , 552[775] > 
< 247[775] , 927[775] > 
< 832[776] , 756[776] > 
< 868[778] , 337[778] > 
< 442[780] , 178[780] > 
< 677[780] , 905[780] > 
< 136[783] , 352[783] > 
< 935[783] , 415[783] > 
< 687[784] , 432[784] > 
< 213[795] , 812[795] > 
< 866[799] , 402[799] > 
< 316[801] , 584[801] > 
< 7[801] , 325[801] > 
< 357[803] , 456[803] > 
< 803[803] , 961[803] > 
< 946[805] , 400[805] > 
< 317[809] , 904[809] > 
< 629[817] , 307[817] > 
< 112[817] , 579[817] > 
< 588[819] , 861[819] > 
< 705[820] , 739[820] > 
< 463[823] , 843[823] > 
< 164[824] , 775[824] > 
< 10[825] , 346[825] > 
< 370[827] , 134[827] > 
< 680[827] , 216[827] > 
< 890[828] , 526[828] > 
< 288[828] , 738[828] > 
< 408[828] , 689[828] > 
< 382[830] , 406[830] > 
< 724[831] , 390[831] > 
< 848[832] , 152[832] > 
< 611[844] , 795[844] > 
< 490[845] , 388[845] > 
< 631[847] , 975[847] > 
< 701[856] , 787[856] > 
< 528[856] , 547[856] > 
< 200[857] , 310[857] > 
< 393[858] , 109[858] > 
< 293[861] , 339[861] > 
< 368[862] , 661[862] > 
< 113[863] , 644[863] > 
< 452[864] , 359[864] > 
< 751[865] , 708[865] > 
< 387[870] , 598[870] > 
< 717[871] , 412[871] > 
< 130[874] , 625[874] > 
< 653[878] , 207[878] > 
< 892[878] , 907[878] > 
< 648[879] , 381[879] > 
< 726[885] , 329[885] > 
